0-15(%),% Couple household with dependent children,Household spaces with at least one usual resident (%),Unemployment Rate,% Highest level of qualification: Level 4 qualifications and above
20.72507553,26.22432859,96.34703196,3.913043478,60.3
17.9389313,19.28020566,97.73869347,4.906333631,59.4
20.61538462,23.20916905,97.48603352,5.427974948,56.4
15.07283091,15.75342466,96.17918314,6.040892193,62.9
24.8733821,14.11764706,94.14556962,12.7064803,23.2
23.83474576,16.90140845,98.45916795,10.56338028,22.8
22.37921604,14.72134595,98.04123711,10.91073039,28
17.32580038,12.54901961,97.51434034,8.872901679,28.9
22.23594812,10.82981716,99.16317992,15.16393443,26.4
17.97101449,13.64864865,97.62532982,8.086560364,33
17.13414634,11.70212766,97.91666667,8.723404255,40.8
14.97409326,10.34031414,96.10062893,8.849557522,40
20.14176019,18.66840731,97.70408163,3.80859375,64
20.88940901,26.19047619,94.78138223,3.21888412,63.2
26.8683274,36.7816092,98.06763285,3.640776699,69.8
26.94859038,25.27839644,98.78987899,9.044368601,40.1
23.16213494,16.49331352,91.19241192,9.18065153,29
20.55650199,14.30948419,93.61370717,14.02953586,28.6
19.69525959,14.79289941,85.46144121,9.768378651,30.5
21.00484262,18.30065359,91.61676647,9.582863585,36
12.91666667,11.97053407,97.48653501,6.826347305,32.8
17.25200246,14.53957997,93.78787879,7.809110629,35.4
19.64944649,14.12911084,98.08841099,8.505367465,38
16.17100372,10.78431373,89.25,9.810479376,34.8
15.88132635,12.92346299,94.99404052,6.135531136,57.6
16.48648649,12.8742515,98.23529412,11.08374384,43
22.11267606,21.42857143,97.56888169,8.981233244,47.5
15.8988764,7.929515419,97.84482759,7.544006706,54.4
23.5563703,11.06557377,98.7854251,14.44444444,27.7
17.32736573,16.4305949,97.51381215,6.308169597,55.6
11.76470588,12.2260669,96.44048943,4.351087772,63.7
19.7421981,24.13793103,96.36075949,3.597122302,64.3
21.89866045,27.46268657,95.71428571,4.330312185,70.7
19.77159172,24.03361345,97.54098361,4.994192799,61.7
17.18869366,26.24254473,98.2421875,4.241645244,64
18.25557809,21.89054726,97.88961039,4.004711425,64.3
20.37878788,23.59550562,99.07235622,5.128205128,55.7
12.34207969,12.60115607,92.0212766,6.208425721,49.3
13.84307846,12.94261294,87.22044728,6.823720552,45.9
20,13.0247578,94.60285132,10.05067568,35.5
14.50502912,15.35211268,96.8622101,8.23117338,46.4
20.24793388,13.57142857,95.10869565,12.81755196,26.1
15.64274652,9.318181818,93.9167556,12.86764706,27.8
21.58979392,14.19518378,98.25653798,9.532374101,36.3
22.63187748,16.00587372,97.98561151,10.34870641,26.5
25.66467716,14.08450704,98.3627204,10.98398169,25.9
15.31284303,11.77266576,95.84954604,12.51149954,32.9
25.3869969,14.07407407,95.07042254,11.87584345,26.1
